[00007f6681432767] execve
[00007f30122d7979] brk
[00007f30122d8827] access
[00007f30122d891a] mmap
[00007f30122d8827] access
[00007f30122d87c7] open
[00007f30122d8752] fstat
[00007f30122d891a] mmap
[00007f30122d88c7] close
[00007f30122d8827] access
[00007f30122d87c7] open
[00007f30122d87e7] read
[00007f30122d8752] fstat
[00007f30122d891a] mmap
[00007f30122d89b7] mprotect
[00007f30122d891a] mmap
[00007f30122d891a] mmap
[00007f30122d88c7] close
[00007f30122d8827] access
[00007f30122d87c7] open
[00007f30122d87e7] read
[00007f30122d8752] fstat
[00007f30122d891a] mmap
[00007f30122d89b7] mprotect
[00007f30122d891a] mmap
[00007f30122d891a] mmap
[00007f30122d88c7] close
[00007f30122d8827] access
[00007f30122d87c7] open
[00007f30122d87e7] read
[00007f30122d8752] fstat
[00007f30122d891a] mmap
[00007f30122d89b7] mprotect
[00007f30122d891a] mmap
[00007f30122d88c7] close
[00007f30122d8827] access
[00007f30122d87c7] open
[00007f30122d87e7] read
[00007f30122d8752] fstat
[00007f30122d891a] mmap
[00007f30122d89b7] mprotect
[00007f30122d891a] mmap
[00007f30122d88c7] close
[00007f30122d8827] access
[00007f30122d87c7] open
[00007f30122d87e7] read
[00007f30122d8752] fstat
[00007f30122d891a] mmap
[00007f30122d89b7] mprotect
[00007f30122d891a] mmap
[00007f30122d891a] mmap
[00007f30122d88c7] close
[00007f30122d891a] mmap
[00007f30122bdbb8] arch_prctl
[00007f30122d89b7] mprotect
[00007f30122d89b7] mprotect
[00007f30122d89b7] mprotect
[00007f30122d89b7] mprotect
[00007f30122d89b7] mprotect
[00007f30122d89b7] mprotect
[00007f30122d89b7] mprotect
[00007f30122d8997] munmap
[00007f301163ed12] set_tid_address
[00007f301163ed7a] set_robust_list
[00007f301164a76e] rt_sigaction
[00007f301164a76e] rt_sigaction
[00007f301163ee56] rt_sigprocmask
[00007f3011dcbfb7] getrlimit
[00007f3011dc6417] statfs
[00007f3011dc6417] statfs
[00007f3011dcc459] brk
[00007f3011dcc459] brk
[00007f3011dc6670] open
[00007f3011dc6262] fstat
[00007f3011dc6890] read
[00007f3011dc6890] read
[00007f3011d47f5b] close
[00007f3011dc6947] access
[00007f3011cfa7cf] open
[00007f3011dc6262] fstat
[00007f3011dd0bda] mmap
[00007f3011cfa881] close
[00007f3011dcbcfa] ioctl
[00007f3011dcc587] ioctl
[00007f3011d96790] open
[00007f3011dc6262] fstat
[00007f3011d96f0b] getdents
[00007f3011d96f0b] getdents
[00007f3011d969f7] close
[00007f3011dc6262] fstat
[00007f3011dc68f0] write
[00007f3011d47f5b] close
[00007f3011d47f5b] close
[00007f3011d9b738] exit_group
[????????????????] +++ exited with 0 +++

