execve, brk, access, open, fstat, mmap, close, open, read, fstat
brk, access, open, fstat, mmap, close, open, read, fstat, mmap
access, open, fstat, mmap, close, open, read, fstat, mmap, mmap
open, fstat, mmap, close, open, read, fstat, mmap, mmap, mprotect
fstat, mmap, close, open, read, fstat, mmap, mmap, mprotect, mmap
mmap, close, open, read, fstat, mmap, mmap, mprotect, mmap, close
close, open, read, fstat, mmap, mmap, mprotect, mmap, close, open
open, read, fstat, mmap, mmap, mprotect, mmap, close, open, read
read, fstat, mmap, mmap, mprotect, mmap, close, open, read, fstat
fstat, mmap, mmap, mprotect, mmap, close, open, read, fstat, mmap
mmap, mmap, mprotect, mmap, close, open, read, fstat, mmap, mprotect
mmap, mprotect, mmap, close, open, read, fstat, mmap, mprotect, mmap
mprotect, mmap, close, open, read, fstat, mmap, mprotect, mmap, close
mmap, close, open, read, fstat, mmap, mprotect, mmap, close, open
close, open, read, fstat, mmap, mprotect, mmap, close, open, read
open, read, fstat, mmap, mprotect, mmap, close, open, read, fstat
read, fstat, mmap, mprotect, mmap, close, open, read, fstat, mmap
fstat, mmap, mprotect, mmap, close, open, read, fstat, mmap, mprotect
mmap, mprotect, mmap, close, open, read, fstat, mmap, mprotect, mmap
mprotect, mmap, close, open, read, fstat, mmap, mprotect, mmap, mmap
mmap, close, open, read, fstat, mmap, mprotect, mmap, mmap, close
close, open, read, fstat, mmap, mprotect, mmap, mmap, close, mmap
open, read, fstat, mmap, mprotect, mmap, mmap, close, mmap, arch_prctl
read, fstat, mmap, mprotect, mmap, mmap, close, mmap, arch_prctl, mprotect
fstat, mmap, mprotect, mmap, mmap, close, mmap, arch_prctl, mprotect, mprotect
mmap, mprotect, mmap, mmap, close, mmap, arch_prctl, mprotect, mprotect, mprotect
mprotect, mmap, mmap, close, mmap, arch_prctl, mprotect, mprotect, mprotect, mprotect
mmap, mmap, close, mmap, arch_prctl, mprotect, mprotect, mprotect, mprotect, mprotect
mmap, close, mmap, arch_prctl, mprotect, mprotect, mprotect, mprotect, mprotect, munmap
close, mmap, arch_prctl, mprotect, mprotect, mprotect, mprotect, mprotect, munmap, brk
mmap, arch_prctl, mprotect, mprotect, mprotect, mprotect, mprotect, munmap, brk, brk
arch_prctl, mprotect, mprotect, mprotect, mprotect, mprotect, munmap, brk, brk, open
mprotect, mprotect, mprotect, mprotect, mprotect, munmap, brk, brk, open, fstat
mprotect, mprotect, mprotect, mprotect, munmap, brk, brk, open, fstat, mmap
mprotect, mprotect, mprotect, munmap, brk, brk, open, fstat, mmap, close
mprotect, mprotect, munmap, brk, brk, open, fstat, mmap, close, geteuid
mprotect, munmap, brk, brk, open, fstat, mmap, close, geteuid, open
munmap, brk, brk, open, fstat, mmap, close, geteuid, open, fstat
brk, brk, open, fstat, mmap, close, geteuid, open, fstat, read
brk, open, fstat, mmap, close, geteuid, open, fstat, read, read
open, fstat, mmap, close, geteuid, open, fstat, read, read, close
fstat, mmap, close, geteuid, open, fstat, read, read, close, open
mmap, close, geteuid, open, fstat, read, read, close, open, open
close, geteuid, open, fstat, read, read, close, open, open, open
geteuid, open, fstat, read, read, close, open, open, open, open
open, fstat, read, read, close, open, open, open, open, write
fstat, read, read, close, open, open, open, open, write, write
read, read, close, open, open, open, open, write, write, write
read, close, open, open, open, open, write, write, write, write
close, open, open, open, open, write, write, write, write, lseek
open, open, open, open, write, write, write, write, lseek, close
open, open, open, write, write, write, write, lseek, close, close
open, open, write, write, write, write, lseek, close, close, close
open, write, write, write, write, lseek, close, close, close, exit_group
